rumor_title,rumor_keywords,rumor_quote,rumor_url,rumor_sourceText,split_keywords
成都30所中小学将开启机器人授课？,"点击,真相",四川互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
河南许昌的禹州市、长葛市要合村并镇？,"点击,真相",河南省网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
近期河南南阳部分县域小麦病毒大爆发？,"点击,真相",河南省网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
天津出台“生育补贴制度”？,"点击,真相",天津市互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
重庆轨道新线开通，开出8-10万年薪招聘员工？,"点击,真相",重庆市互联网举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
近期广东一机场跑道失火？,"点击,真相",广东网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
河南漯河“名下无房都可申请公租房”“一次申请永久居住”？,"点击,真相",漯河市互联网辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
近期云南迪庆香格里拉一中、三中着火？,"点击,真相",云南省互联网违法和不良信息举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
近期天津滨海新区着火了？,"点击,真相",天津市互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
太原地铁1号线已正式开通？,"点击,真相",山西互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
近期凉山发生山体滑坡造成多人失联？,"点击,真相",四川互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
广东江门某码头两船相撞？,"点击,真相",广东网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
宁马城际铁路延期至2026年9月试运营？,,安徽网络辟谣平台,,中国互联网联合辟谣平台,['']
近期广西南宁发生3.1级地震？,"点击,真相",广西互联网辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
近期山东聊城隧道多车相撞？,"点击,真相",山东互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
近期广东茂名发生地震？,"点击,真相",广东网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
河南灵宝到山东菏泽将修建地铁？,"点击,真相",河南省网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
重庆主城到长寿区将开通直升飞机？,"点击,真相",重庆市互联网举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
符合相关规定即可申请“五险一金补贴”？,,公众举报,,中国互联网联合辟谣平台,['']
南京献血车开进中小学校园？,,江苏省互联网有害信息举报平台,,中国互联网联合辟谣平台,['']
南京北站挖到古墓被停工了?,,江苏省互联网有害信息举报平台,,中国互联网联合辟谣平台,['']
近期河南郑州发生列车撞人事故？ ,,河南省网络辟谣平台,,中国互联网联合辟谣平台,['']
