来源机构,出现次数
公众举报,309
微博,145
重庆市互联网举报中心,40
抖音,38
上海辟谣平台,29
四川互联网联合辟谣平台,29
广东网络辟谣平台,25
河南省网络辟谣平台,24
今日头条,23
北京市违法和不良信息举报平台,17
湖南省互联网辟谣平台,17
广西互联网辟谣平台,16
山东互联网联合辟谣平台,15
新疆互联网联合辟谣平台,15
浙江辟谣平台,15
天津市互联网联合辟谣平台,14
江苏省互联网有害信息举报平台,13
福建辟谣,11
陕西省互联网联合辟谣平台,9
百度,9
云南省互联网违法和不良信息举报中心,9
湖北网络辟谣平台,8
山西互联网联合辟谣平台,7
甘肃地区联合辟谣平台,7
UC浏览器,6
安徽网络辟谣平台,6
海南省互联网联合辟谣平台,6
辽宁省互联网辟谣平台,5
西藏自治区互联网举报中心,5
快手,5
内蒙古网上辟谣平台,4
哔哩哔哩,4
腾讯新闻较真,4
江西省互联网违法和不良信息举报中心,4
微博、福建辟谣,3
微博、上海辟谣平台,3
豆瓣,3
济南互联网联合辟谣平台,3
黑龙江省互联网违法和不良信息举报中心,3
成都网络辟谣,3
360,2
贵州省互联网违法和不良信息举报中心,2
抖音、福建辟谣,2
宁夏互联网辟谣平台,2
青岛互联网联合辟谣平台,2
公众举报、上海辟谣平台,2
河北网络辟谣平台,2
烟台互联网联合辟谣平台,1
人力资源和社会保障部,1
贵州辟谣,1
国家卫生健康委宣传司,1
江苏省互联网违法和不良信息举报中心,1
江苏省互联网违法和有害不良信息举报中心,1
抖音、上海辟谣平台,1
南昌市互联网违法和不良信息举报中心,1
漯河市互联网辟谣平台,1
新浪微博,1
微博、福建辟谣平台,1
腾讯新闻较真、上海辟谣平台,1
凤凰网讲真,1
西安市互联网违法和不良信息举报中心,1
