rumor_summary,rumor_keywords,rumor_publishTime,rumor_editor,rumor_sourceText,split_keywords
2025年3月7日辟谣：外交部：所谓“中国控制巴拿马运河”纯属谎言详情：误区：接触购物小票会致癌。,"详情,巴拿马运河,互联网,外交部,北京市,屈绍辉,接触,谎言,情况,涉企",2025-03-07 16:17:29,贾玉韬,中国互联网联合辟谣平台,"['详情', '巴拿马运河', '互联网', '外交部', '北京市', '屈绍辉', '接触', '谎言', '情况', '涉企']"
,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-03-06 16:19:53,李亚琼,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,,2025-03-05 18:12:55,周文婧,中国互联网联合辟谣平台,['']
2025年3月4日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：李亚琼 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-03-04 17:05:39,闫丹丹,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
,"真相,谣言,详情,屈绍辉,李洪,统筹,提示,策划,李亚,科普",2025-03-03 16:34:00,吴炎,中国互联网联合辟谣平台,"['真相', '谣言', '详情', '屈绍辉', '李洪', '统筹', '提示', '策划', '李亚', '科普']"
2025年2月28日辟谣：详情：谣言：真相：科普：详情：关注：详情：详情：2024年全国网信系统严厉打击网络违法违规行为 切实维护网络空间清朗统筹：屈绍辉 策划：李洪雷 董晓 编辑：霍晶莹 设计：肖丽丽 尹路。,"详情,网络,屈绍辉,严厉打击,李洪,全国,网信,设计,晶莹,科普",2025-02-28 17:25:53,董晋,中国互联网联合辟谣平台,"['详情', '网络', '屈绍辉', '严厉打击', '李洪', '全国', '网信', '设计', '晶莹', '科普']"
（来源：“新疆网络辟谣”微信公众号）科普：土拨鼠详情：近日。,"微信,公众,来源,近日,详情,中国,新疆,辟谣,土拨鼠,屈绍辉",2025-02-27 16:50:38,霍晶莹,中国互联网联合辟谣平台,"['微信', '公众', '来源', '近日', '详情', '中国', '新疆', '辟谣', '土拨鼠', '屈绍辉']"
2025年2月26日谣言：真相：近误区：真相：此提示：详情：近统筹：屈绍辉 策划：李洪雷 董晓 编辑：吴炎 设计：肖丽丽 尹路。,"真相,屈绍辉,李洪,误区,统筹,提示,编辑,策划,详情,董晓",2025-02-26 14:50:00,芮静,中国互联网联合辟谣平台,"['真相', '屈绍辉', '李洪', '误区', '统筹', '提示', '编辑', '策划', '详情', '董晓']"
真相：误区：心脏支架手术将被淘汰。,"真相,DeepSeek,屈绍辉,新区,手术,用户,涌现,大量,提高,详情",2025-02-25 15:38:03,贾玉韬,中国互联网联合辟谣平台,"['真相', 'DeepSeek', '屈绍辉', '新区', '手术', '用户', '涌现', '大量', '提高', '详情']"
,,2025-02-24 17:12:52,周文婧,中国互联网联合辟谣平台,['']
